"DATA_YEAR","COUNTY","BINCOME","count","count_moe","share","share_moe"
2023,"Region","Under $25,000",81235,2909.36380711531,0.306363351800241,0.00936262550621674
2023,"Region","$25,000-$49,999",60892,2570.99620266761,0.229643346067831,0.00864823140859154
2023,"Region","$50,000-$74,999",46855,2270.93337329885,0.176705297576171,0.00763384952718574
2023,"Region","$75,000-$99,999",24767,1566.24967162566,0.093404334757636,0.00576226000784714
2023,"Region","$100,000 or more",51410,2835.72109628816,0.193883669798121,0.0103702851094665
2023,"Region","Total",265159,4814.75375695165,1,0
